Date,Close/Last,Volume,Open,High,Low
11/28/2023,91.48,44989270,90.91,91.53,90.785
11/27/2023,91.30,39804430,90.30,91.34,90.205
11/24/2023,89.80,20199630,90.10,90.26,89.79
11/22/2023,90.87,31215580,91.12,91.32,90.38
11/21/2023,90.55,27720970,90.50,90.80,89.885
11/20/2023,90.59,40517570,89.62,90.655,89.61
11/17/2023,90.04,44100610,90.16,90.425,89.6358
11/16/2023,89.62,49473880,89.30,89.96,89.25
11/15/2023,88.52,56205300,89.01,89.14,88.31
11/14/2023,89.78,65666820,90.00,90.15,89.29
11/13/2023,87.79,25661520,87.22,87.94,86.90
11/10/2023,87.99,36594020,88.225,88.425,87.7749
11/09/2023,87.50,88975100,88.94,89.03,86.74
11/08/2023,89.56,53893380,88.48,89.62,88.45
11/07/2023,88.06,37834190,87.61,88.50,87.59
11/06/2023,86.78,41341870,87.07,87.20,86.60
11/03/2023,87.63,77692250,88.81,89.05,87.575
11/02/2023,87.04,69739360,86.675,87.31,86.22
11/01/2023,85.10,72308460,84.04,85.12,84.02
10/31/2023,83.58,37269240,84.365,84.77,83.55
10/30/2023,83.99,45026920,83.81,84.50,83.24
10/27/2023,84.37,32362270,84.19,84.97,83.74
10/26/2023,84.73,49704080,83.48,84.815,83.40
10/25/2023,83.45,60737170,84.02,84.13,83.13
10/24/2023,85.35,46267680,84.44,85.35,84.09
10/23/2023,84.24,70890440,82.81,84.86,82.42
10/20/2023,83.24,52188750,82.99,83.54,82.77
10/19/2023,82.77,87696930,83.88,84.57,82.74
10/18/2023,84.50,63724620,84.38,84.72,83.85
10/17/2023,85.25,52949100,84.89,85.6299,84.5045
10/16/2023,86.20,38309790,86.19,86.37,85.90
10/13/2023,87.61,44203090,87.60,87.83,87.17
10/12/2023,86.07,66986730,88.05,88.1894,85.925
10/11/2023,88.47,58517650,87.85,88.47,87.60
10/10/2023,86.66,54743910,85.85,87.17,85.52
10/09/2023,86.78,29424890,85.50,86.80,84.95
10/06/2023,84.79,62787860,84.20,85.685,84.06
10/05/2023,85.83,35758760,86.105,86.19,85.635
10/04/2023,86.26,56281600,85.77,86.31,85.37
10/03/2023,85.06,71362640,86.31,86.65,84.885
10/02/2023,86.93,44704260,87.82,87.93,86.71
09/29/2023,88.69,49010150,89.27,89.49,88.13
09/28/2023,88.68,60238010,87.62,88.73,87.10
09/27/2023,88.41,47111200,89.535,89.62,88.09
09/26/2023,88.87,38104130,89.43,89.62,88.71
09/25/2023,89.18,45587910,89.66,90.04,89.15
09/22/2023,91.43,29530320,90.81,91.605,90.67
09/21/2023,90.70,59958750,91.285,91.365,90.69
09/20/2023,93.09,29451160,93.29,93.60,93.04
09/19/2023,92.80,24947680,93.08,93.43,92.80
09/18/2023,93.49,17963380,92.85,93.53,92.82
09/15/2023,92.96,25642920,93.46,93.48,92.96
09/14/2023,93.53,27800620,93.94,94.21,93.40
